,temp,precip,doy
498,-4.692,0.0,21.75
499,-3.967,0.0,21.79
500,-6.414,0.0,21.83
501,-6.362,0.0,21.88
502,-6.503,0.0,21.92
503,-5.939,0.0,21.96
504,-6.449,0.0,22.0
505,-8.36,0.0,22.04
506,-6.299,0.0,22.08
507,-3.679,0.0,22.12
508,-4.778,0.0,22.17
509,-4.756,0.0,22.21
510,-4.218,0.0,22.25
511,-3.802,0.0,22.29
512,-5.264,0.0,22.33
513,-6.485,0.0,22.38
514,-7.39,0.0,22.42
515,-6.383,0.0,22.46
516,-3.93,0.0,22.5
517,-3.133,0.0,22.54
518,-3.026,0.0,22.58
519,-4.177,0.0,22.62
520,-4.765,0.0,22.67
521,-4.488,0.0,22.71
522,-5.197,0.0,22.75
523,-4.404,0.0,22.79
524,-3.133,0.0,22.83
525,-2.988,0.0,22.88
526,-3.149,0.0,22.92
527,-4.23,0.0,22.96
528,-3.854,0.0,23.0
529,-3.169,0.0,23.04
530,-3.398,0.0,23.08
531,-4.004,0.0,23.12
532,-3.428,0.0,23.17
533,-3.707,0.0,23.21
534,-4.181,0.0,23.25
535,-4.666,0.0,23.29
536,-3.225,0.0,23.33
537,-4.938,0.0,23.38
538,-5.212,0.0,23.42
539,-4.248,0.0,23.46
540,-4.563,0.0,23.5
541,-5.007,0.0,23.54
542,-5.678,0.0,23.58
543,-5.792,0.0,23.62
544,-5.621,0.0,23.67
545,-5.982,0.0,23.71
546,-6.149,0.0,23.75
547,-7.14,0.0,23.79
548,-7.32,0.0,23.83
549,-7.54,0.0,23.88
550,-8.31,0.0,23.92
551,-8.77,0.0,23.96
552,-8.89,0.0,24.0
553,-9.99,0.0,24.04
554,-11.19,0.0,24.08
555,-11.66,0.0,24.12
556,-11.84,0.0,24.17
557,-11.95,0.0,24.21
558,-12.61,0.0,24.25
559,-13.43,0.0,24.29
560,-14.02,0.0,24.33
561,-14.48,0.0,24.38
562,-15.06,0.0,24.42
563,-15.59,0.0,24.46
564,-15.02,0.0,24.5
565,-14.52,0.0,24.54
566,-15.05,0.0,24.58
567,-15.83,0.0,24.62
568,-16.82,0.0,24.67
569,-17.87,0.0,24.71
570,-18.53,0.0,24.75
571,-19.91,0.0,24.79
572,-20.05,0.0,24.83
573,-20.87,0.0,24.88
574,-20.61,0.0,24.92
575,-21.65,0.0,24.96
576,-22.78,0.0,25.0
577,-20.3,0.0,25.04
578,-20.42,0.0,25.08
579,-18.62,0.0,25.12
580,-18.35,0.0,25.17
581,-18.9,0.0,25.21
582,-19.49,0.0,25.25
583,-18.14,0.0,25.29
584,-16.25,0.0,25.33
585,-16.86,0.0,25.38
586,-15.26,0.0,25.42
587,-13.84,0.0,25.46
588,-13.57,0.0,25.5
589,-11.98,0.0,25.54
590,-12.31,0.0,25.58
591,-15.26,0.0,25.62
592,-17.13,0.0,25.67
593,-16.56,0.0,25.71
594,-16.45,0.0,25.75
595,-16.96,0.0,25.79
596,-17.5,0.0,25.83
597,-17.22,0.0,25.88
598,-15.53,0.0,25.92
599,-17.04,0.0,25.96
600,-16.5,0.0,26.0
601,-17.31,0.0,26.04
602,-17.56,0.0,26.08
603,-17.76,0.0,26.12
604,-17.86,0.0,26.17
605,-18.17,0.0,26.21
606,-16.25,0.0,26.25
607,-16.65,0.0,26.29
608,-18.07,0.0,26.33
609,-17.8,0.0,26.38
610,-17.63,0.0,26.42
611,-16.47,0.0,26.46
612,-15.25,0.0,26.5
613,-14.07,0.0,26.54
614,-14.27,0.0,26.58
615,-14.24,0.0,26.62
616,-16.61,0.0,26.67
617,-18.81,0.0,26.71
618,-18.97,0.0,26.75
619,-17.43,0.0,26.79
620,-17.14,0.0,26.83
621,-17.62,0.0,26.88
622,-18.97,0.0,26.92
623,-17.65,0.0,26.96
624,-13.56,0.0,27.0
625,-13.8,0.0,27.04
