datetime_index,year,month,day,hour,mn,sec,event_ID,doy,datetime
2007-06-18 01:45:00,7,6,18,1,45,0,70618014500,169,2007-06-18 01:45:00
2007-06-18 02:02:00,7,6,18,2,2,0,70618020200,169,2007-06-18 02:02:00
2007-06-18 02:17:59,7,6,18,2,17,59,70618021759,169,2007-06-18 02:17:59
2007-06-18 02:33:59,7,6,18,2,33,59,70618023359,169,2007-06-18 02:33:59
2007-06-18 02:48:59,7,6,18,2,48,59,70618024859,169,2007-06-18 02:48:59
2007-06-18 03:01:59,7,6,18,3,1,59,70618030159,169,2007-06-18 03:01:59
2007-06-18 03:14:59,7,6,18,3,14,59,70618031459,169,2007-06-18 03:14:59
2007-06-18 03:25:59,7,6,18,3,25,59,70618032559,169,2007-06-18 03:25:59
2007-06-18 03:36:59,7,6,18,3,36,59,70618033659,169,2007-06-18 03:36:59
2007-06-18 03:49:59,7,6,18,3,49,59,70618034959,169,2007-06-18 03:49:59
2007-06-18 04:02:59,7,6,18,4,2,59,70618040259,169,2007-06-18 04:02:59
2007-06-18 04:14:59,7,6,18,4,14,59,70618041459,169,2007-06-18 04:14:59
2007-06-18 04:33:00,7,6,18,4,33,0,70618043300,169,2007-06-18 04:33:00
2007-06-18 04:46:00,7,6,18,4,46,0,70618044600,169,2007-06-18 04:46:00
2007-06-18 05:01:00,7,6,18,5,1,0,70618050100,169,2007-06-18 05:01:00
2007-06-18 05:14:00,7,6,18,5,14,0,70618051400,169,2007-06-18 05:14:00
2007-06-18 05:26:00,7,6,18,5,26,0,70618052600,169,2007-06-18 05:26:00
2007-06-18 05:40:00,7,6,18,5,40,0,70618054000,169,2007-06-18 05:40:00
2007-06-18 05:51:00,7,6,18,5,51,0,70618055100,169,2007-06-18 05:51:00
2007-06-18 06:09:00,7,6,18,6,9,0,70618060900,169,2007-06-18 06:09:00
2007-06-18 06:20:00,7,6,18,6,20,0,70618062000,169,2007-06-18 06:20:00
2007-06-18 06:37:00,7,6,18,6,37,0,70618063700,169,2007-06-18 06:37:00
2007-06-18 06:50:59,7,6,18,6,50,59,70618065059,169,2007-06-18 06:50:59
2007-06-18 07:10:59,7,6,18,7,10,59,70618071059,169,2007-06-18 07:10:59
2007-06-18 07:56:59,7,6,18,7,56,59,70618075659,169,2007-06-18 07:56:59
2007-06-18 09:03:59,7,6,18,9,3,59,70618090359,169,2007-06-18 09:03:59
2007-06-18 09:27:00,7,6,18,9,27,0,70618092700,169,2007-06-18 09:27:00
2007-06-18 10:34:00,7,6,18,10,34,0,70618103400,169,2007-06-18 10:34:00
2007-06-18 11:35:59,7,6,18,11,35,59,70618113559,169,2007-06-18 11:35:59
2007-06-18 19:06:00,7,6,18,19,6,0,70618190600,169,2007-06-18 19:06:00
2007-06-18 20:19:00,7,6,18,20,19,0,70618201900,169,2007-06-18 20:19:00
